company,complaints,timely_response_rate,products
TrueAccord Corp.,3133,0.993935525055857,9
"Avant Holding Company, Inc.",2196,0.99408014571949,8
"Shellpoint Partners, LLC",9853,0.9943164518420785,8
"Coinbase, Inc.",3861,0.9948199948199948,9
"Sequium Asset Solutions, LLC",2368,0.9949324324324325,9
"National Credit Systems,Inc.",11506,0.9949591517469146,7
CORELOGIC INC,5563,0.9953262628078375,9
FIRST NATIONAL BANK OF OMAHA,1995,0.9954887218045113,10
MoneyLion Inc.,2120,0.995754716981132,8
Global Lending Services LLC,3197,0.9959336878323428,9
ERC,1748,0.9959954233409611,5
BTH Management,1098,0.9963570127504554,5
"RentDebt Automated Collections, LLC",1386,0.9963924963924964,4
"MARINER FINANCE, LLC",1398,0.9964234620886981,9
Freedom Mortgage Company,4452,0.9966307277628033,8
"Cascade CISS Holdings, LLC",1498,0.9966622162883845,8
AMERICAN EXPRESS COMPANY,29536,0.9968513001083423,11
"United Shore Financial Services, LLC",1325,0.9969811320754717,8
VW Credit,1325,0.9969811320754717,8
Army and Air Force Exchange Service,1190,0.9974789915966387,8
"Exeter Finance, LLC.",5615,0.997506678539626,8
CREDIT ACCEPTANCE CORPORATION,9016,0.9975598935226264,9
NCB Management Services Inc.,4147,0.9975886182782735,6
NEW YORK COMMUNITY BANCORP INC,1668,0.9976019184652278,10
"CAINE & WEINER COMPANY, INC.",7568,0.9976215644820295,8
Atlanticus Services Corporation,3445,0.997677793904209,8
"Spring Oaks Capital, LLC",6590,0.9977238239757208,8
SLM CORPORATION,2686,0.9977661950856291,9
Velocity Portfolio Group,2289,0.9978156400174749,8
"Rocket Mortgage, LLC",2370,0.9978902953586498,8
GOLDMAN SACHS BANK USA,14776,0.9980373578776394,10
"Harris & Harris, Ltd.",2569,0.9980537173997664,6
Selene Holdings LLC,2077,0.9980741454020221,7
Credit Corp Solutions Inc.,2080,0.9980769230769231,6
"Consumer Portfolio Services, Inc.",2095,0.9980906921241051,7
"ENOVA INTERNATIONAL, INC.",2721,0.9981624402793091,9
Consumer Adjustment Company Incorporated,1648,0.9981796116504854,8
"NRA Group, LLC",2219,0.9981973862100045,6
"Halsted Financial Services, LLC.",1130,0.9982300884955753,9
"LAKEVIEW LOAN SERVICING, LLC",1168,0.9982876712328768,7
"CARRINGTON MORTGAGE SERVICES, LLC",2397,0.9983312473925741,8
"Nelnet, Inc.",16781,0.9983314462785293,9
"UPGRADE, INC.",3277,0.9984742142203235,11
SYNCHRONY FINANCIAL,36783,0.9985319305113776,10
T.S. Holdings,4566,0.9986859395532195,4
"Westlake Services, LLC",8378,0.9986870374791119,11
FIFTH THIRD FINANCIAL CORPORATION,5592,0.9987482117310443,10
PENTAGON FEDERAL CREDIT UNION,3350,0.9988059701492538,11
"ACIMA CREDIT, LLC",2525,0.9988118811881188,9
"ONLINE Information Services, Inc.",1867,0.9989287627209427,4
Central Portfolio Control Inc.,1903,0.998949027850762,8
TRANSWORLD SYSTEMS INC,10856,0.9989867354458364,11
AES/PHEAA,2999,0.9989996665555185,7
"The Bureaus, Inc.",1031,0.9990300678952473,4
CCF Intermediate Holdings LLC,2183,0.9990838295923041,9
"Aldous & Associates, PLLC",3318,0.9990958408679927,5
"SOFI TECHNOLOGIES, INC.",4624,0.9991349480968859,11
FC HoldCo LLC,2374,0.9991575400168492,6
"WESTERN UNION COMPANY, THE",1208,0.9991721854304636,11
"Affirm Holdings, Inc",10957,0.9991786072830154,11
"CarMax, Inc.",2517,0.9992054032578467,6
"The CMI Group, Inc.",1282,0.999219968798752,4
"I.C. System, Inc.",11822,0.9992387074945017,9
"Paypal Holdings, Inc",18770,0.9992541289291422,9
"Opportunity Financial, LLC",1358,0.9992636229749632,7
"SANTANDER HOLDINGS USA, INC.",12883,0.9993014049522627,10
Santander Consumer USA Holdings Inc.,1438,0.9993045897079277,10
"HW Holding, Inc",4649,0.99935469993547,7
"MRS BPO, LLC",1584,0.9993686868686869,7
Ocwen Financial Corporation,4769,0.9993709373034179,9
REGIONS FINANCIAL CORPORATION,3671,0.9994551893217107,10
"Southwest Credit Systems, L.P.",3970,0.9994962216624685,6
Mercedes Benz Financial Services,1994,0.9994984954864594,9
"Continental Finance Company, LLC",2133,0.9995311767463666,7
Mr. Cooper Group Inc.,9068,0.9995588883987648,10
"General Motors Financial Company, Inc.",4597,0.999564933652382,9
FISERV FINXACT CORE,2312,0.9995674740484429,10
"Kriya Capital, LLC",9806,0.9995920864776667,8
"CAVALRY INVESTMENTS, LLC",2733,0.9996341017197219,7
Chime Financial Inc,17955,0.9996658312447786,10
M&T BANK CORPORATION,3604,0.9997225305216426,10
"HUNTINGTON NATIONAL BANK, THE",3803,0.9997370496976071,11
"CITIZENS FINANCIAL GROUP, INC.",7847,0.9997451255256786,11
OneMain Finance Corporation,8540,0.9997658079625292,11
"Early Warning Services, LLC",30802,0.9997727420297383,9
TOYOTA MOTOR CREDIT CORPORATION,4433,0.9997744191292578,9
"CBC Companies, Inc.",40254,0.9998012619863864,7
ENCORE CAPITAL GROUP INC.,32680,0.9998164014687883,11
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",6093,0.9998358772361726,5
UNITED SERVICES AUTOMOBILE ASSOCIATION,7953,0.9998742612850496,10
CL Holdings LLC,26481,0.9999244741512783,9
ALLY FINANCIAL INC.,15899,0.9999371029624504,10
CAPITAL ONE FINANCIAL CORPORATION,85117,0.9999412573281483,11
WELLS FARGO & COMPANY,66193,0.9999546779870984,11
"Bread Financial Holdings, Inc.",26788,0.9999626698521726,11
Experian Information Solutions Inc.,2628290,0.9999718448116456,11
Resurgent Capital Services L.P.,44830,0.999977693508811,10
"CITIBANK, N.A.",53020,0.9999811391927574,11
"EQUIFAX, INC.",2947105,0.9999983034197967,11
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2922021,0.9999996577711111,11
JPMORGAN CHASE & CO.,71427,1.0,11
NAVY FEDERAL CREDIT UNION,32490,1.0,11
DISCOVER BANK,24959,1.0,11
U.S. BANCORP,18150,1.0,11
TD BANK US HOLDING COMPANY,16327,1.0,11
BARCLAYS BANK DELAWARE,13382,1.0,11
"Fidelity National Information Services, Inc. (FNIS)",11494,1.0,8
PNC Bank N.A.,10613,1.0,11
"Maximus Federal Services, Inc.",9701,1.0,9
"Navient Solutions, LLC.",7720,1.0,9
"National Credit Adjusters, LLC",5625,1.0,9
Radius Global Solutions LLC,4619,1.0,8
Kikoff Inc.,4370,1.0,8
HYUNDAI CAPITAL AMERICA,4048,1.0,9
"SELECT PORTFOLIO SERVICING, INC.",4002,1.0,9
"SUNRISE CREDIT SERVICES, INC",3958,1.0,6
BMO BANK NATIONAL ASSOCIATION,3903,1.0,11
Comerica,3310,1.0,10
Synovus Bank,3126,1.0,9
KEYCORP,2730,1.0,11
"PENNYMAC LOAN SERVICES, LLC.",2502,1.0,8
"Security Credit Services, LLC",2240,1.0,9
"Eastern Account Systems of Connecticut, Inc.",2201,1.0,4
Advanced Resolution Services Inc.,2175,1.0,2
V and H Portfolio,2156,1.0,7
"Credit Control, LLC",2150,1.0,7
"Convergent Resources, Inc.",2000,1.0,8
"The CBE Group, Inc.",1986,1.0,8
FORD MOTOR CREDIT CO.,1709,1.0,10
Absolute Resolutions Corp.,1673,1.0,6
"Diversified Adjustment Service, Inc.",1585,1.0,6
HSBC NORTH AMERICA HOLDINGS INC.,1566,1.0,10
Possible Financial Inc,1489,1.0,7
LJ Ross Associates,1481,1.0,6
"Bull City Financial Solutions, Inc",1445,1.0,3
"Debt Recovery Solutions, LLC",1307,1.0,5
"Medical Data Systems, Inc.",1222,1.0,5
TekCollect Inc.,1209,1.0,4
Zions Debt Holdings,1166,1.0,3
Penn Credit Corporation,1125,1.0,5
Monterey Financial Services LLC,1079,1.0,10
MIDFIRST BANK,1049,1.0,10
